City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Garissa,KE,76.39,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
502,Cienfuegos,CU,76.01,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
505,Lazaro Cardenas,MX,77.77,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
509,Zabid,YE,77.83,overcast clouds,14.1951,43.3152,مغرب التريبه
511,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
514,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
515,Bilma,NE,74.32,clear sky,18.6853,12.9164,Expeditions Ténére voyages
517,Akyab,MM,75.31,clear sky,20.15,92.9,Hotel Memory
519,Saint-Paul,RE,77.09,light rain,-21.0096,55.2707,Boucan Canot
520,Pennadam,IN,77.43,overcast clouds,11.4,79.2333,Muthu Home Lodge A/C
532,Sompeta,IN,79.11,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
547,Enugu,NG,74.98,overcast clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
549,Bellavista,PE,72.68,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
550,Kribi,CM,78.03,broken clouds,2.95,9.9167,La Grace Hôtel
553,Sibolga,ID,77.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
558,Awka,NG,79.21,overcast clouds,6.2101,7.0741,Best Western Meloch Hotel
568,Toro,CO,70.48,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
571,Devli,IN,70.02,clear sky,25.75,75.3833,HOTEL DWARKA PALACE
573,San Rafael,AR,79.7,clear sky,-34.6177,-68.3301,Hotel San Rafael
575,Sawakin,SD,77.63,overcast clouds,19.1059,37.3321,فندق الدويم
578,Tuy Hoa,VN,78.49,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
582,Nelson Bay,AU,71.96,light rain,-32.7167,152.15,Mantra Nelson Bay
585,La Palma,US,79.07,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
587,Arvi,IN,75.49,few clouds,20.9833,78.2333,Geet shirbhate
589,Rosarito,MX,76.17,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
598,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
615,Nuevitas,CU,76.44,clear sky,21.5453,-77.2644,Hotel Caonaba
621,Atar,MR,79.97,overcast clouds,20.5169,-13.0499,Oumou Elghoura
628,Contamana,PE,73.06,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
632,Harper,LR,78.48,light rain,4.375,-7.7169,Screensaver
640,Ambilobe,MG,71.82,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
642,Santiago Del Estero,AR,78.98,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
646,Waspan,NI,72.93,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
651,Mancio Lima,BR,72.81,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
664,Doka,SD,71.31,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
665,Lilongwe,MW,72.52,overcast clouds,-13.9669,33.7873,Spendwise furnished apartments.
667,Port-Gentil,GA,79.66,light rain,-0.7193,8.7815,Fengshui Residence
668,Kiama,AU,71.01,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
670,Moree,AU,75.22,broken clouds,-29.4667,149.85,Molika Springs Motel
674,Borba,BR,74.43,light rain,-4.3878,-59.5939,Hotel da Amazônia
681,Juba,SS,74.39,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
684,Mundra,IN,77.32,overcast clouds,22.85,69.7333,Hotel Bansidhar Palace
